ms,ax,ay,az,gx,gy,gz
980686,-0.8531,0.2621,-1.2225,-58.4717,49.4385,-85.3882
980694,-0.9009,0.2186,-1.1899,-34.5459,46.3867,-100.4028
980702,-0.9299,0.1755,-1.1672,-21.3013,40.8936,-112.2437
980710,-0.9077,0.1237,-1.1494,-5.2490,34.4238,-119.0796
980719,-0.8765,0.1125,-1.1782,8.4229,27.4658,-119.4458
980727,-0.8124,0.1180,-1.2238,22.2778,20.8130,-118.4692
980735,-0.7426,0.1483,-1.2560,39.1846,13.1836,-116.5771
980743,-0.6943,0.2050,-1.2808,53.5889,2.5635,-113.7695
980752,-0.5956,0.2689,-1.2946,63.9648,-8.9722,-113.9526
980759,-0.4752,0.3077,-1.3014,72.3877,-22.3389,-116.5771
980768,-0.3844,0.3229,-1.2891,82.7637,-35.5225,-119.9341
980777,-0.2853,0.3376,-1.2499,94.7876,-47.1802,-121.1548
980785,-0.1940,0.3461,-1.1969,107.0557,-56.8237,-120.4224
980793,-0.1311,0.3507,-1.1271,117.9199,-63.9648,-118.4692
980801,-0.0778,0.3544,-1.0535,126.8311,-68.4204,-115.0513
980809,-0.0337,0.3470,-0.9756,133.5449,-68.9087,-109.9854
980818,-0.0132,0.3445,-0.9073,141.1743,-65.6128,-103.5156
980826,-0.0410,0.3524,-0.8514,149.1089,-61.9507,-97.2900
980834,-0.0861,0.3584,-0.8000,155.2124,-60.7300,-91.6138
980842,-0.1136,0.3638,-0.7532,159.6069,-62.9272,-87.4023
980851,-0.1030,0.3909,-0.7019,161.9873,-67.7490,-84.4116
980859,-0.0784,0.4054,-0.6534,161.5601,-72.2656,-82.8247
980867,-0.0552,0.4288,-0.6165,157.7148,-76.0498,-81.0547
980875,-0.0289,0.4387,-0.5798,152.8320,-78.0029,-78.0640
980884,-0.0101,0.4521,-0.5369,146.7285,-78.0640,-74.4629
980892,0.0166,0.4590,-0.4984,141.8457,-75.3174,-70.1294
980900,0.0255,0.4779,-0.4784,138.4277,-70.4956,-65.6738
980909,0.0106,0.4944,-0.4740,135.0098,-66.9556,-61.4014
980917,0.0192,0.4944,-0.4761,128.2349,-65.0024,-58.5938
980925,0.0341,0.4921,-0.4834,121.3379,-63.2935,-57.1289
980934,0.0573,0.4989,-0.4810,114.9902,-61.1572,-55.4810
980941,0.0664,0.5164,-0.4912,109.4360,-57.4341,-53.4058
980950,0.0706,0.5336,-0.4866,105.0415,-51.7578,-50.9644
980958,0.0750,0.5520,-0.4946,100.2808,-44.4336,-47.2412
980967,0.0685,0.5571,-0.4973,94.8486,-36.5601,-43.2739
980974,0.0708,0.5699,-0.4821,89.0503,-29.2969,-40.1611
980983,0.0682,0.5792,-0.4736,79.4067,-22.6440,-37.1094
980991,0.0675,0.5846,-0.4594,72.2656,-15.1978,-35.6445
980999,0.0657,0.6033,-0.4434,67.7490,-8.6060,-33.5083
981008,0.0437,0.6122,-0.4279,63.5376,-5.6152,-29.6631
981016,0.0326,0.6219,-0.4153,57.9224,-5.1270,-26.1841
981024,0.0084,0.6366,-0.4271,52.5513,-5.7983,-24.2920
